,tsne_dim_1,tsne_dim_2
877,138.94319,85.81572
878,291.26932,49.535397
879,293.76685,56.159225
880,142.28947,14.009281
881,-62.161057,-205.3213
882,242.54164,49.8748
883,-38.319073,-72.02816
884,-193.57498,4.0524693
885,74.37603,-120.71732
886,108.08748,-114.03025
887,71.72279,36.395313
888,-225.79306,-66.39031
889,194.40764,114.28734
890,-256.6926,97.8331
891,138.78244,165.45006
892,-184.06963,-215.43013
893,132.69414,132.64333
894,-21.682476,202.3277
895,-155.25778,45.130108
896,276.3058,-49.922634
897,-247.79388,6.534394
898,-282.1305,5.487237
899,80.877815,53.627808
900,29.580904,151.65195
901,161.49455,100.898125
902,-112.60969,-183.90836
903,-241.63777,0.66549593
904,-87.60265,-250.9617
905,64.044945,2.0394065
906,137.42842,71.87732
907,-57.844437,222.2604
908,-228.75885,-21.966682
909,-156.34607,4.0753407
910,51.736084,-251.99722
911,100.266045,252.76082
912,-232.4779,-24.4193
913,-227.69096,-106.237465
914,117.05798,-64.894554
915,-162.90062,117.25826
916,-9.000256,246.15172
917,-174.60202,-11.504013
918,83.99311,205.78967
919,292.20203,57.143654
920,174.25974,92.65855
921,-162.24796,-11.33688
922,174.97963,-71.99001
923,-165.6578,-49.042538
924,141.01382,174.6253
925,-111.17866,-13.473561
926,-166.44392,21.516386
927,266.8488,31.092245
928,-96.60349,96.58121
929,-279.62616,24.925722
930,-169.61774,39.160404
931,244.53398,-33.92637
932,250.74263,83.56761
933,318.59674,-37.57335
934,-121.24108,114.08236
935,-179.88838,54.86885
936,76.56919,186.37929
937,-192.73412,11.405391
938,70.17328,151.31433
939,56.68958,218.83035
940,-256.03094,13.07739
941,-210.81195,-211.27379
942,286.36603,-126.54192
943,-221.80428,-50.62484
944,-175.9849,-198.05623
945,-139.12079,121.70907
946,-278.97607,-13.54273
947,83.99718,205.76932
948,123.27982,6.7788625
949,-204.5753,5.657284
950,-183.19977,17.324978
951,-110.02042,95.43849
952,1.3529967,171.34236
953,-53.018402,-1.3828993
954,-22.522001,-250.24934
955,-125.90642,-226.48283
956,-191.1743,-32.12685
957,173.26723,242.4618
958,-59.31206,-21.173704
959,293.09277,57.75079
960,-61.50637,-15.79837
961,238.18356,71.88953
962,-238.52203,25.232252
963,-279.72302,25.108082
964,-257.74664,29.26978
965,29.71351,202.00674
966,-242.58235,-74.48078
967,-24.819368,51.127697
968,-21.547031,74.50698
969,307.16638,-54.8289
970,-170.11607,28.824087
971,-253.74655,8.485013
972,-4.8074355,210.55733
973,-25.521782,110.32244
974,-42.42271,136.36101
975,-262.721,44.742893
976,59.63667,220.91751
977,-202.93527,37.951344
978,-102.87179,153.11784
979,-291.69843,39.330715
980,-158.1842,202.053
981,-268.66357,-13.305018
982,90.10291,195.02698
983,-37.29841,64.80448
984,-189.82294,50.76042
985,-304.74487,53.728554
986,-124.17267,31.838287
987,-250.38123,-33.458122
988,284.01102,39.64537
989,182.03317,-168.72626
990,48.286797,106.16115
991,80.03376,-156.34338
992,199.41107,33.834473
993,-169.30981,34.177773
994,361.6127,-96.56376
995,46.71152,106.27572
996,-195.073,-32.918995
997,154.11092,18.286055
998,-190.45581,-51.64151
999,-125.442604,-212.52805
1000,-108.42957,4.1042433
1001,19.113668,176.43558
1002,-242.08363,4.2379427
1003,-172.48753,-191.86658
1004,37.65937,154.57689
1005,-304.77023,50.50478
1006,320.98154,-79.795494
1007,-113.21052,-11.308878
1008,-124.9013,-132.4972
1009,-250.40616,-33.42299
1010,26.583767,220.15472
1011,141.15475,188.92671
1012,-223.38857,-244.85387
1013,-22.75736,84.03233
1014,54.666756,96.11862
1015,-236.52547,116.518555
1016,47.744358,-191.0813
1017,-289.0899,30.965937
1018,-240.83643,-234.8079
1019,-213.24112,-84.999535
